X,Y,Num,ID,DegrClass,Farm
24.0027509955058,-33.5587366488955,1,ST1,Severe,Tchnuganu
23.989940757492,-33.5664116657211,2,ST2,Severe,Tchnuganu
23.9994591451153,-33.5693043709487,3,ST3,Severe,Tchnuganu
23.9949948343546,-33.5717880956121,4,ST4,Severe,Tchnuganu
23.9887699884284,-33.5672886565355,5,ST5,Severe,Tchnuganu
23.9908493767973,-33.5620105256274,6,ST6,Severe,Tchnuganu
23.9941292582684,-33.5647827850307,7,ST7,Severe,Tchnuganu
23.9868504859822,-33.5651870855334,8,ST8,Severe,Tchnuganu
23.9853679316268,-33.5643079337858,9,ST9,Severe,Tchnuganu
23.9888595925834,-33.5634407176876,10,ST10,Severe,Tchnuganu
23.9891290416566,-33.5616173731759,11,ST11,Severe,Tchnuganu
23.9836905190872,-33.5585907332791,12,ST12,Severe,Tchnuganu
23.9832287849002,-33.5707850344879,13,ST13,Severe,Tchnuganu
23.9850152114861,-33.5603346908204,14,ST14,Severe,Tchnuganu
23.9880301246604,-33.5707353174061,15,ST15,Severe,Tchnuganu
24.0007042612602,-33.5666441976517,16,ST16,Severe,Tchnuganu
23.9921924443471,-33.5643298763457,17,ST17,Severe,Tchnuganu
23.992294490938,-33.5719581054406,18,ST18,Severe,Tchnuganu
23.9910838249906,-33.5678443992375,19,ST19,Severe,Tchnuganu
23.9864745243771,-33.572043813222,20,ST20,Severe,Tchnuganu
24.0005033097833,-33.5671409179359,21,ST21,Severe,Tchnuganu
23.9887726733971,-33.5730776579763,22,ST22,Severe,Tchnuganu
23.981891608697,-33.5597177204372,23,ST23,Severe,Tchnuganu
24.0024651249924,-33.5637768716581,24,ST24,Severe,Tchnuganu
24.0021706627605,-33.5560020271171,25,ST25,Severe,Tchnuganu
23.9995200201865,-33.5660782246443,26,ST26,Severe,Tchnuganu
23.9895631890664,-33.5632921183065,27,ST27,Severe,Tchnuganu
24.0036582996573,-33.56309312357,28,ST28,Severe,Tchnuganu
23.9848549179485,-33.5630142734185,29,ST29,Severe,Tchnuganu
23.9880478895549,-33.5631129072403,30,ST30,Severe,Tchnuganu
23.9841551811321,-33.5673408590048,31,ST31,Severe,Tchnuganu
23.9833904669676,-33.5695075975141,32,ST32,Severe,Tchnuganu
23.9869365376878,-33.5639344196405,33,ST33,Severe,Tchnuganu
23.9819079070098,-33.5616464137049,34,ST34,Severe,Tchnuganu
23.991041766824,-33.5736383879502,35,ST35,Severe,Tchnuganu
23.9901266961971,-33.5614088596847,36,ST36,Severe,Tchnuganu
23.9996578110491,-33.5726052848283,37,ST37,Severe,Tchnuganu
23.9903018743034,-33.5632651332386,38,ST38,Severe,Tchnuganu
23.9947743732824,-33.5653333103122,39,ST39,Severe,Tchnuganu
23.9840455334532,-33.5622902618011,40,ST40,Severe,Tchnuganu
23.9921510950385,-33.569558160588,41,ST41,Severe,Tchnuganu
23.9943829946138,-33.5724982044385,42,ST42,Severe,Tchnuganu
23.9896474623763,-33.5727013641699,43,ST43,Severe,Tchnuganu
24.0031690868258,-33.559120714831,44,ST44,Severe,Tchnuganu
23.9936013718387,-33.5670517467399,45,ST45,Severe,Tchnuganu
24.0025764005708,-33.5577833914937,46,ST46,Severe,Tchnuganu
23.9887326931739,-33.5726642692741,47,ST47,Severe,Tchnuganu
23.9924247049967,-33.5664578960591,48,ST48,Severe,Tchnuganu
23.9901877152456,-33.5728911592579,49,ST49,Severe,Tchnuganu
24.0040516077427,-33.5637199079859,50,ST50,Severe,Tchnuganu
23.951995609545,-33.5559855031195,1,MV1,Moderate,Van der Wat
23.950336990065,-33.5573593082815,2,MV2,Moderate,Van der Wat
23.9427579719415,-33.555648419065,3,MV3,Moderate,Van der Wat
23.9478741977636,-33.5557325634381,4,MV4,Moderate,Van der Wat
23.9362485798767,-33.5580720676214,5,MV5,Moderate,Van der Wat
23.9493153500695,-33.5561288374265,6,MV6,Moderate,Van der Wat
23.9431881692167,-33.5631865117743,7,MV7,Moderate,Van der Wat
23.9470890514062,-33.5580657611243,8,MV8,Moderate,Van der Wat
23.9521465073969,-33.5555882098341,9,MV9,Moderate,Van der Wat
23.9420500885475,-33.5628821740979,10,MV10,Moderate,Van der Wat
23.9484799811184,-33.5559407379711,11,MV11,Moderate,Van der Wat
23.9510048904555,-33.5556165126486,12,MV12,Moderate,Van der Wat
23.9471162025196,-33.5563280088292,13,MV13,Moderate,Van der Wat
23.9521157585638,-33.5550435228602,14,MV14,Moderate,Van der Wat
23.9441731742093,-33.5600626134103,15,MV15,Moderate,Van der Wat
23.9348477851041,-33.5606693058186,16,MV16,Moderate,Van der Wat
23.9499885790248,-33.555455125561,17,MV17,Moderate,Van der Wat
23.9349850441489,-33.5586647346731,18,MV18,Moderate,Van der Wat
23.936387153073,-33.5567912558215,19,MV19,Moderate,Van der Wat
23.946443434379,-33.5577279232227,20,MV20,Moderate,Van der Wat
23.9337189018347,-33.559836074453,21,MV21,Moderate,Van der Wat
23.9496958074869,-33.5558107723525,22,MV22,Moderate,Van der Wat
23.9438328210501,-33.5599644078972,23,MV23,Moderate,Van der Wat
23.9415894696679,-33.5557651006123,24,MV24,Moderate,Van der Wat
23.9499128995677,-33.5560136942306,25,MV25,Moderate,Van der Wat
